epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,1197.91,1.99281,1.82711,1.66339,0.48558,0.25,0.12672,0.05158,3.1135,6.51238,5.61713,0.0017822,0.0017822,0.0017822
13,1296.57,1.92504,1.53315,1.74391,1,0.7414,0.85724,0.45688,1.99212,1.85997,2.21935,0.0017624,0.0017624,0.0017624
14,1400.68,1.84381,1.51537,1.61588,0.06555,0.75,0.06739,0.03518,1.84489,7.88278,2.04403,0.0017426,0.0017426,0.0017426
15,1500.98,1.76491,1.36953,1.55193,0.25538,0.5625,0.3947,0.15258,2.00734,14.3612,2.09162,0.0017228,0.0017228,0.0017228
16,1601.51,1.9361,1.34327,1.62906,0.0105,0.8125,0.00879,0.00441,2.04875,338.878,2.22403,0.001703,0.001703,0.001703
17,1699.84,1.94801,1.47006,1.61995,0.55338,0.92954,0.61025,0.24648,2.10266,1.50064,1.90632,0.0016832,0.0016832,0.0016832
18,1799.14,1.98948,1.51437,1.67114,0.52628,0.875,0.71045,0.31027,1.91266,1.63374,1.77484,0.0016634,0.0016634,0.0016634
19,1899.88,1.76274,1.35613,1.47398,0.7261,0.8125,0.85421,0.47613,1.72484,1.95872,1.80192,0.0016436,0.0016436,0.0016436
20,2009.8,1.95342,1.4548,1.61255,0.92982,0.82886,0.87932,0.47677,1.5999,1.30656,1.62048,0.0016238,0.0016238,0.0016238
21,2114.81,1.78828,1.34129,1.58766,0.82345,0.8125,0.83597,0.44997,1.63781,1.47308,1.66279,0.001604,0.001604,0.001604
22,2213.5,1.99689,1.24682,1.68189,0.93846,0.8125,0.87298,0.47984,1.62875,1.46315,1.66946,0.0015842,0.0015842,0.0015842
23,2317.3,1.78568,1.20915,1.47771,0.66022,0.8125,0.84414,0.39745,1.87592,2.33574,2.11027,0.0015644,0.0015644,0.0015644
24,2417.4,1.73026,1.26781,1.53405,0.49203,0.8125,0.50379,0.1959,2.37169,2.08831,2.12455,0.0015446,0.0015446,0.0015446
25,2518.04,2.0254,1.59603,1.66668,0.61974,0.875,0.79676,0.28246,2.24595,1.53379,2.00874,0.0015248,0.0015248,0.0015248
26,2616.07,1.62894,1.35829,1.45738,0.87414,0.86853,0.89748,0.44504,1.84451,1.52453,1.78892,0.001505,0.001505,0.001505
27,2713.52,1.8505,1.42959,1.55274,0.97803,0.9375,0.94163,0.48733,1.82893,1.33353,1.75647,0.0014852,0.0014852,0.0014852
28,2815.76,1.65489,1.35586,1.48274,0.9707,0.9375,0.96324,0.50547,1.72037,1.10498,1.64382,0.0014654,0.0014654,0.0014654
29,2917.54,1.83142,1.23033,1.54,0.95524,0.8125,0.94374,0.3785,2.14416,1.17754,1.93795,0.0014456,0.0014456,0.0014456
30,3014.99,1.83354,1.3843,1.50237,0.88489,0.8125,0.85697,0.26336,2.33172,1.33888,2.159,0.0014258,0.0014258,0.0014258
31,3113.29,1.77937,1.17172,1.54878,0.90316,0.8125,0.84411,0.28951,2.12455,1.3267,1.87689,0.001406,0.001406,0.001406
32,3211.6,2.0047,1.40504,1.71254,0.92507,0.8125,0.85862,0.29839,1.88384,1.37805,1.70138,0.0013862,0.0013862,0.0013862
33,3311.35,1.79029,1.32607,1.61193,0.77114,0.8125,0.92688,0.38629,1.81618,1.19742,1.66213,0.0013664,0.0013664,0.0013664
34,3411.64,1.74939,1.17135,1.49274,0.9896,0.9375,0.95841,0.45308,1.76805,1.14116,1.63299,0.0013466,0.0013466,0.0013466
35,3509.27,1.74858,1.21144,1.51679,0.87199,1,0.98833,0.4648,1.79423,1.18831,1.63351,0.0013268,0.0013268,0.0013268
36,3606.4,1.70745,1.23704,1.58439,0.92016,0.9375,0.91966,0.38597,1.73583,1.27341,1.64369,0.001307,0.001307,0.001307
37,3704.29,1.67516,1.1897,1.46166,0.9109,0.9375,0.93091,0.39224,1.83899,1.29339,1.70779,0.0012872,0.0012872,0.0012872
38,3801.32,1.89581,1.34157,1.64216,0.93355,1,0.995,0.38745,1.90676,1.25306,1.76465,0.0012674,0.0012674,0.0012674
